bodyPart,equipment,level,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
upper arms,cable,Principiante,1637,curl con cable por encima de la cabeza sobre pelota de ejercicios,biceps,forearms,shoulders,Siéntese sobre una pelota de ejercicios y sujete el mango del cable con un agarre por debajo.,"Extiende los brazos completamente por encima de la cabeza, manteniendo los codos cerca de las orejas.","Lentamente, doble el cable hacia la frente, manteniendo los brazos superiores estacionarios.",Haga una pausa por un momento en la parte inferior del movimiento y luego regrese lentamente a la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
upper arms,cable,Principiante,0194,Extensión de tríceps por encima de la cabeza con cable (conexión con cuerda),triceps,shoulders,,Conecte una cuerda a una máquina de cable en una posición alta.,Párese de espaldas a la máquina con los pies separados al ancho de los hombros.,"Sujete la cuerda con ambas manos, con las palmas una frente a la otra, y lleve las manos por encima de la cabeza.",Mantenga la parte superior de los brazos cerca de la cabeza y los codos apuntando hacia adelante.,Baje lentamente la cuerda detrás de su cabeza doblando los codos.,Haz una pausa por un momento y luego extiende los brazos hacia arriba hasta la posición inicial.,,Repita el número de repeticiones deseado.,,,,,,,
back,cable,Principiante,1319,Remo rotatorio con palma y cable,upper back,biceps,forearms,Coloque un mango en una máquina de cable a la altura de la cintura.,Párese frente a la máquina con los pies separados al ancho de los hombros.,"Sujete el mango con un agarre superior, con las palmas hacia abajo.","Da un paso atrás para crear tensión en el cable, manteniendo la espalda recta y las rodillas ligeramente dobladas.","Tire del mango hacia su cuerpo, girando las palmas hacia arriba mientras lo hace.",Aprieta los omóplatos al final del movimiento.,,Suelte lentamente el mango hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,
upper arms,cable,Principiante,0195,rizo de predicador de cable,biceps,forearms,,Ajuste la máquina de cable de manera que la almohadilla de curl de predicador esté a la altura del pecho.,"Siéntese en el banco de curl predicador y coloque la parte superior de los brazos sobre la almohadilla, sujetando el accesorio de cable con un agarre por debajo.",Mantenga la espalda recta y los codos pegados a los costados.,"Lentamente, levante el cable hacia los hombros, apretando los bíceps en la parte superior del movimiento.",Haga una pausa por un momento y luego baje lentamente el accesorio del cable hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,
chest,cable,Principiante,1268,prensa de cable sobre pelota de ejercicios,pectorals,shoulders,triceps,Siéntese sobre una pelota de ejercicios con los pies apoyados en el suelo y las rodillas en un ángulo de 90 grados.,Sujete las asas del cable a la altura del pecho con las palmas hacia abajo y los codos doblados.,Contraiga el centro del cuerpo y presione los mangos del cable hacia adelante hasta que sus brazos estén completamente extendidos.,"Haga una pausa por un momento, luego libere lentamente la tensión y vuelva a llevar los mangos del cable a la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper legs,cable,Principiante,0196,pasar el cable (con cuerda),glutes,hamstrings,lower back,Párese de espaldas a la máquina de cable con los pies separados al ancho de los hombros.,"Sujete la cuerda con ambas manos y dé un paso hacia adelante, creando tensión en el cable.","Dobla las caderas y baja la parte superior del cuerpo hasta que quede paralela al suelo, manteniendo la espalda recta.",Contrae los glúteos y los isquiotibiales para llevar el cuerpo hacia la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
back,cable,Principiante,0198,polea baja con cable,lats,biceps,forearms,Ajuste la máquina de polea con cable de manera que el asiento esté a una altura cómoda y la almohadilla para la rodilla esté asegurada.,Siéntese en el asiento con la espalda recta y los pies apoyados en el suelo.,"Sujete la barra de cable con un agarre por encima de la mano, con los brazos ligeramente más separados que el ancho de los hombros.",Inclínese ligeramente hacia atrás y contraiga el centro del cuerpo.,"Tire la barra de cable hacia el pecho, apretando los omóplatos.","Haz una pausa por un momento en la parte inferior del movimiento, luego suelta lentamente la barra hasta la posición inicial.",,Repita el número de repeticiones deseado.,,,,,,,
back,cable,Principiante,0197,polea hacia abajo con cable (barra lateral profesional),lats,biceps,forearms,Ajuste la altura del asiento de manera que sus muslos queden paralelos al suelo y sus pies apoyados en el suelo.,"Sujete la barra dorsal con un agarre por encima de la mano, con una separación ligeramente mayor que el ancho de los hombros.","Siéntese e inclínese ligeramente hacia atrás, manteniendo el pecho erguido y la espalda recta.","Tire la barra hacia el pecho, apretando los omóplatos.","Haz una pausa por un momento en la parte inferior del movimiento, luego suelta lentamente la barra hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
upper arms,cable,Principiante,1638,curl de bíceps con polea hacia abajo,biceps,forearms,,Coloque una barra recta en la máquina de cable en la configuración más alta.,Párese frente a la máquina con los pies separados al ancho de los hombros.,Sujete la barra con un agarre por debajo de la mano y con las manos separadas al ancho de los hombros.,Mantenga los codos cerca de los costados y la parte superior de los brazos quieta.,"Exhala y gira lentamente la barra hacia los muslos, manteniendo las muñecas rectas.","Haz una pausa por un momento en la parte inferior del movimiento, apretando los bíceps.",,"Inhala y regresa lentamente la barra a la posición inicial, extendiendo completamente los brazos.",Repita el número de repeticiones deseado.,,,,,,
upper arms,cable,Principiante,0201,empuje con cable,triceps,forearms,,Conecte una barra recta a una máquina de cable de polea alta.,Párese frente a la máquina con los pies separados al ancho de los hombros y una ligera flexión en las rodillas.,"Sujete la barra con un agarre por encima de la mano, con las manos separadas al ancho de los hombros.",Mantenga los codos cerca de los costados y la parte superior de los brazos quieta.,Exhala y empuja la barra hacia abajo hasta que tus codos estén completamente extendidos.,"Haz una pausa por un momento, luego inhala y regresa lentamente la barra a la posición inicial.",,Repita el número de repeticiones deseado.,,,,,,,
back,cable,Principiante,0199,flexiones con cable (brazo recto) v. 2,lats,triceps,shoulders,Conecte una barra recta a una máquina de cable de polea alta.,Párese frente a la máquina con los pies separados al ancho de los hombros y una ligera flexión en las rodillas.,"Sujete la barra con un agarre por encima de la mano, manteniendo los brazos rectos y las palmas hacia abajo.",Contraiga el centro del cuerpo y mantenga la espalda recta mientras exhala y empuja la barra hacia los muslos.,"Haz una pausa por un momento en la parte inferior, luego regresa lentamente la barra a la posición inicial mientras inhalas.",Repita el número de repeticiones deseado.,,,,,,,,,
upper arms,cable,Principiante,0200,flexión con cable (con fijación de cuerda),triceps,forearms,,Conecte un accesorio de cuerda a una polea alta en una máquina de cable.,Párese frente a la máquina con los pies separados al ancho de los hombros y una ligera flexión en las rodillas.,"Sujete la cuerda con un agarre superior, con las palmas una frente a la otra.",Mantenga los codos cerca de los costados y la parte superior de los brazos estacionarios durante todo el ejercicio.,Exhala y empuja la cuerda hacia abajo extendiendo los codos hasta que tus brazos estén completamente extendidos.,"Haga una pausa por un momento, luego inhale y regrese lentamente a la posición inicial permitiendo que los codos se flexionen.",,Repita el número de repeticiones deseado.,,,,,,,
shoulders,cable,Principiante,0202,Remo con cable para deltoides posteriores (estribos),delts,trapezius,rhomboids,Coloque un mango de estribo en una polea de cable baja y párese frente a la máquina.,"Sujete el mango con la mano izquierda y dé un paso atrás con el pie derecho, posicionando el cuerpo en un ligero ángulo.","Dobla ligeramente las rodillas e inclínate hacia adelante desde las caderas, manteniendo la espalda recta y el centro del cuerpo contraído.","Con el brazo izquierdo extendido y la palma hacia abajo, tire del mango hacia el pecho retrayendo el omóplato.","Haga una pausa por un momento en la parte superior del movimiento, apretando el omóplato.",Suelte lentamente el mango hasta la posición inicial y repita el ejercicio hasta obtener la cantidad de repeticiones deseada.,biceps,Cambia de lado y repite el ejercicio con el brazo derecho.,,,,,,,
shoulders,cable,Principiante,0203,Remo con cable para deltoides posteriores (con cuerda),delts,trapezius,rhomboids,Conecte un mango de cuerda a una máquina de cable con polea baja.,Párese frente a la máquina con los pies separados al ancho de los hombros.,"Sujete el mango de la cuerda con un agarre superior, con las palmas una frente a la otra.","Dobla ligeramente las rodillas e inclínate hacia adelante desde las caderas, manteniendo la espalda recta.","Mantenga los codos ligeramente doblados y tire de la cuerda hacia el pecho, apretando los omóplatos.","Haga una pausa por un momento en la parte superior del movimiento, luego libere lentamente la tensión y regrese a la posición inicial.",biceps,Repita el número de repeticiones deseado.,,,,,,,
upper arms,cable,Principiante,0204,tracción trasera por cable,triceps,shoulders,back,Coloque un mango en una máquina de cable con polea baja y párese de espaldas a la máquina.,Sujete el mango con un agarre superior y extienda los brazos hacia delante.,"Manteniendo los codos estacionarios, tire del mango hacia su cuerpo, apretando los tríceps al final del movimiento.",Regrese lentamente el mango a la posición inicial y repita el ejercicio hasta obtener la cantidad de repeticiones deseada.,,,,,,,,,,,
back,cable,Principiante,0205,pulldown trasero con cable,lats,biceps,rhomboids,Ajuste la máquina de cable de modo que la polea esté en la posición más alta.,Siéntese frente a la máquina con los pies apoyados en el suelo y las rodillas ligeramente flexionadas.,Sujete el cable con un agarre superior y las manos separadas un poco más que el ancho de los hombros.,"Inclínese ligeramente hacia atrás, manteniendo la espalda recta y el pecho erguido.","Tire el cable hacia abajo, en dirección al pecho, apretando los omóplatos.","Haga una pausa por un momento en la parte inferior del movimiento, luego suelte lentamente el cable hasta la posición inicial.",rear deltoids,Repita el número de repeticiones deseado.,,,,,,,
waist,cable,Principiante,0873,crujido inverso con cable,abs,hip flexors,,Conecte un cable a una polea baja y acuéstese boca arriba sobre una colchoneta.,Sujete el cable con ambas manos y extienda los brazos hacia el techo.,"Dobla las rodillas y levanta las piernas, llevando los muslos hacia el pecho.","Manteniendo estable la parte superior del cuerpo, flexione la pelvis hacia el pecho y levante las caderas del mat.","Haz una pausa por un momento en la parte superior, luego baja lentamente las caderas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
upper arms,cable,Principiante,0206,rizo inverso con cable,biceps,forearms,,Conecte una barra recta a una máquina de cable de polea baja.,Párese frente a la máquina con los pies separados al ancho de los hombros y las rodillas ligeramente dobladas.,Sujete la barra con un agarre por debajo de la mano y con las manos separadas al ancho de los hombros.,Mantenga los codos cerca de los costados y la parte superior de los brazos estacionarios durante todo el ejercicio.,"Exhala y levanta la barra hacia los hombros, contrayendo los bíceps.","Haz una pausa por un momento en la parte superior, apretando los bíceps.",,"Inhala y baja lentamente la barra a la posición inicial, extendiendo completamente los brazos.",Repita el número de repeticiones deseado.,,,,,,
upper arms,cable,Principiante,2406,Flexión de tríceps con agarre invertido y cable (barra SZ) (con Arm Blaster),triceps,forearms,,Coloque una barra recta en la máquina de cable en la configuración más alta.,Párese frente a la máquina de cable con los pies separados al ancho de los hombros.,"Sujete la barra con un agarre supino, con las palmas hacia arriba y las manos separadas al ancho de los hombros.",Mantenga los codos cerca de los costados y la parte superior de los brazos estacionarios durante todo el ejercicio.,Contrae los tríceps y empuja lentamente la barra hacia abajo hasta que tus brazos estén completamente extendidos.,Haz una pausa por un momento en la parte inferior y luego regresa lentamente la barra a la posición inicial.,,Repita el número de repeticiones deseado.,,,,,,,
upper arms,cable,Intermedio,1413,curl inverso con un brazo con cable,biceps,forearms,,Párese frente a una máquina de cable con los pies separados al ancho de los hombros.,"Sujete el mango del cable con un agarre inferior, con la palma hacia abajo.",Mantenga el codo cerca del costado y doble lentamente el antebrazo hacia el hombro.,"Haz una pausa por un momento en la parte superior, luego baja lentamente el antebrazo hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper arms,cable,Principiante,0209,curl de predicador invertido con cable,biceps,forearms,,Ajuste la máquina de cable de manera que la almohadilla de curl de predicador esté a la altura del pecho.,"Siéntese en el banco de curl de predicador y coloque la parte superior de los brazos sobre la almohadilla, con las palmas hacia abajo y los codos completamente extendidos.",Sujete las manijas del cable con un agarre por debajo de la mano y con los hombros separados al ancho de los hombros.,"Manteniendo los brazos superiores estacionarios, exhale y doble los mangos hacia los hombros, contrayendo los bíceps.","Haz una pausa por un momento en la parte superior del movimiento, apretando los bíceps.","Inhale y baje lentamente los mangos hasta la posición inicial, extendiendo completamente los codos.",,Repita el número de repeticiones deseado.,,,,,,,
lower arms,cable,Principiante,0210,curl de muñeca invertido con cable,forearms,forearms,wrists,Conecte un cable a una polea baja y siéntese en un banco frente a la máquina de cable.,"Sujete el mango del cable con un agarre superior, con las palmas hacia abajo.","Apoya los antebrazos sobre los muslos, con las muñecas colgando del borde.","Manteniendo los antebrazos estacionarios, exhale y doble las muñecas hacia arriba lo más que pueda.","Haz una pausa por un momento en la parte superior, luego inhala y baja lentamente las muñecas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
upper arms,cable,Principiante,0207,flexión con agarre invertido con cable,triceps,forearms,,Conecte una barra recta a una máquina de cable de polea alta.,Párese frente a la máquina con los pies separados al ancho de los hombros.,"Sujete la barra con un agarre supino, con las palmas hacia arriba y las manos separadas al ancho de los hombros.",Mantenga los codos cerca de los costados y la parte superior de los brazos estacionarios durante todo el ejercicio.,"Utilizando los tríceps, empuja la barra hacia abajo hasta que tus brazos estén completamente extendidos y tus tríceps estén contraídos.",Haga una pausa por un momento y luego regrese lentamente la barra a la posición inicial.,,Repita el número de repeticiones deseado.,,,,,,,
back,cable,Principiante,0208,Remo alto sentado con espalda recta y agarre invertido con cable,upper back,biceps,forearms,Siéntese en el asiento frente a la máquina de cable con los pies apoyados en el suelo.,"Sujete el accesorio de cable con un agarre supino, con las palmas hacia arriba y las manos separadas al ancho de los hombros.",Mantenga la espalda recta e inclínese ligeramente hacia adelante desde las caderas.,Tire del cable hacia el torso retrayendo los omóplatos y apretando los músculos de la espalda.,"Haga una pausa por un momento en el pico de la contracción, luego suelte lentamente el cable hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
back,cable,Principiante,1320,Remo sentado con cruce de cable y cuerda,upper back,biceps,forearms,Siéntese en la máquina de remo con los pies apoyados sobre los reposapiés y las rodillas ligeramente dobladas.,"Sujete las cuerdas del cable con un agarre por encima de la mano, con las palmas una frente a la otra.","Inclínese ligeramente hacia atrás, manteniendo la espalda recta y el centro del cuerpo contraído.","Tire de las cuerdas del cable hacia el pecho, apretando los omóplatos.","Haga una pausa por un momento en el pico del movimiento, luego libere lentamente la tensión y regrese a la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
back,cable,Principiante,1321,Remo sentado elevado con cuerda de cable,upper back,biceps,forearms,Siéntese en el asiento elevado frente a la máquina de cable.,"Sujete las manijas del cable con un agarre por encima de la mano, con las palmas una frente a la otra.","Mantenga la espalda recta e inclínese ligeramente hacia atrás, manteniendo una ligera flexión en las rodillas.",Tire del cable hacia su cuerpo retrayendo los omóplatos y apretando los músculos de la espalda.,Haga una pausa por un momento en la posición completamente contraída.,Libere lentamente la tensión y extienda los brazos hacia atrás hasta la posición inicial.,,Repita el número de repeticiones deseado.,,,,,,,
back,cable,Principiante,1322,Remo en banco inclinado con extensión de cable y cuerda,upper back,biceps,shoulders,Coloque un banco inclinado en un ángulo de 45 grados y conecte una máquina de cable a la polea baja.,Conecte un mango de cuerda a la máquina de cable y siéntese en el banco inclinado frente a la máquina.,"Sujete el mango de la cuerda con un agarre superior e inclínese hacia adelante, manteniendo la espalda recta.","Extiende los brazos completamente, tirando de la cuerda hacia la parte superior del pecho mientras mantienes los codos cerca del cuerpo.",Aprieta los omóplatos al final del movimiento.,Libere lentamente la tensión y vuelva a la posición inicial.,,Repita el número de repeticiones deseado.,,,,,,,
upper arms,cable,Principiante,1639,curl de predicador con martillo y cuerda de cable,biceps,forearms,,Conecte un accesorio de cuerda a una máquina de cable de polea baja.,Párese frente a la máquina con los pies separados al ancho de los hombros.,Sujete la cuerda con un agarre neutral (palmas enfrentadas entre sí).,"Coloque la parte superior de los brazos contra la almohadilla del banco del predicador, manteniendo los codos ligeramente doblados.","Manteniendo los brazos superiores estacionarios, exhale y doble la cuerda hacia los hombros contrayendo los bíceps.",Mantenga la posición contraída durante una breve pausa mientras aprieta los bíceps.,,Inhala y baja lentamente la cuerda hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,
upper arms,cable,Principiante,1724,Extensión de tríceps por encima de la cabeza con polea alta y cuerda de cable,triceps,shoulders,,Conecte una cuerda a una polea alta y ajuste el peso según corresponda.,Párese de espaldas a la máquina de poleas con los pies separados al ancho de los hombros.,"Sujete la cuerda con ambas manos, con las palmas hacia abajo, y lleve las manos por encima de la cabeza.",Mantenga la parte superior de los brazos cerca de la cabeza y perpendiculares al suelo.,Baje lentamente la cuerda detrás de su cabeza doblando los codos.,Haz una pausa por un momento y luego extiende los brazos hacia la posición inicial.,,Repita el número de repeticiones deseado.,,,,,,,
upper arms,cable,Principiante,1725,Extensión de tríceps inclinada con cuerda de cable,triceps,shoulders,,Conecte una cuerda a una polea alta y ajuste el banco inclinado a un ángulo cómodo.,Párese de espaldas a la polea con los pies separados al ancho de los hombros.,Sujete la cuerda con un agarre superior y extienda los brazos hacia arriba.,Mantenga los codos cerca de la cabeza y la parte superior de los brazos estacionarios durante todo el ejercicio.,Baja la cuerda detrás de tu cabeza doblando los codos hasta que tus antebrazos toquen tus bíceps.,Haz una pausa por un momento y luego extiende los brazos hacia la posición inicial.,,Repita el número de repeticiones deseado.,,,,,,,
upper arms,cable,Principiante,1726,Extensión de tríceps con cable acostado en el suelo,triceps,shoulders,,Conecte una cuerda a una máquina de cable y colóquela en la posición más baja.,"Acuéstese en el suelo boca arriba, con la cabeza orientada hacia la máquina de cable.","Sujete la cuerda con ambas manos, con las palmas una frente a la otra, y extienda los brazos hacia el techo.","Mantenga los brazos superiores estacionarios y baje lentamente la cuerda hacia la frente, doblando los codos.",Haz una pausa por un momento y luego extiende los brazos hacia arriba hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,
upper arms,cable,Intermedio,1640,curl de predicador con martillo y un brazo con cuerda de cable,biceps,forearms,,Conecte un mango de cuerda a una máquina de cable con polea baja.,Párese frente a la máquina con los pies separados al ancho de los hombros.,"Sujete el mango de la cuerda con un agarre por debajo de la mano, con las palmas hacia arriba.","Coloque la parte superior del brazo contra la almohadilla del banco del predicador, manteniendo el codo ligeramente doblado.",Mantenga la espalda recta y el centro del cuerpo contraído durante todo el ejercicio.,"Gire lentamente el mango de la cuerda hacia el hombro, manteniendo la parte superior del brazo estacionaria.",,"Aprieta los bíceps en la parte superior del movimiento, luego baja lentamente el mango de la cuerda hasta la posición inicial.",Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de brazo.,,,,,,
back,cable,Principiante,1323,remo sentado con cuerda de cable,upper back,biceps,forearms,Siéntese en la máquina de remo con los pies apoyados sobre los reposapiés y las rodillas ligeramente dobladas.,"Sujete las cuerdas del cable con un agarre por encima de la mano, con las palmas una frente a la otra.","Mantenga la espalda recta e inclínese ligeramente hacia adelante, manteniendo una ligera flexión en los codos.","Tire de las cuerdas del cable hacia su cuerpo, apretando los omóplatos.","Haga una pausa por un momento en el pico del movimiento, luego libere lentamente la tensión y regrese a la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
waist,cable,Principiante,0211,Giros rusos con cable (sobre balón de estabilidad),abs,obliques,lower back,Siéntese sobre una pelota de estabilidad con los pies apoyados en el suelo y las rodillas dobladas en un ángulo de 90 grados.,Sujete el mango del cable con ambas manos y extienda los brazos hacia delante.,Inclínese ligeramente hacia atrás mientras mantiene la espalda recta y el centro del cuerpo contraído.,Gira el torso hacia la derecha y lleva el mango del cable hacia la cadera derecha.,"Haga una pausa por un momento, luego gire el torso hacia la izquierda, llevando el mango del cable hacia la cadera izquierda.",Continúe alternando giros durante el número deseado de repeticiones.,,,,,,,,,
chest,cable,Principiante,2144,press de pecho sentado con cable,pectorals,shoulders,triceps,Ajuste la altura del asiento y las manijas del cable a una posición cómoda.,Siéntese en el banco con la espalda recta y los pies apoyados en el suelo.,Sujete las manijas del cable con un agarre por encima de la mano a la altura de los hombros.,"Empuje las manijas hacia adelante y lejos de su cuerpo, extendiendo los brazos completamente.",Haga una pausa por un momento y luego vuelva lentamente las manijas a la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,
waist,cable,Principiante,0212,abdominales sentados con cable,abs,obliques,,Siéntese en una máquina de cable con los pies apoyados en el suelo y las rodillas dobladas.,Sujete el mango del cable con ambas manos y colóquelo detrás de la cabeza.,"Contrae los abdominales y curva lentamente la parte superior del cuerpo hacia delante, llevando el pecho hacia las rodillas.",Haga una pausa por un momento en la parte superior y luego regrese lentamente a la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
upper arms,cable,Principiante,1641,curl sentado con cable,biceps,forearms,,Siéntese en una máquina de cable con los pies apoyados en el suelo y la espalda recta.,"Sujete el accesorio de cable con un agarre supino, con las palmas hacia arriba y los brazos completamente extendidos.","Manteniendo los brazos superiores estacionarios, exhale y doble el cable hacia los hombros, contrayendo los bíceps.","Haz una pausa por un momento en la parte superior del movimiento, apretando los bíceps.","Inhale y baje lentamente el cable hasta la posición inicial, extendiendo completamente los brazos.",Repita el número de repeticiones deseado.,,,,,,,,,
back,cable,Principiante,0213,Remo alto sentado con cable (barra en V),lats,biceps,rhomboids,Siéntese en la máquina de cable con los pies apoyados en el suelo y las rodillas ligeramente dobladas.,"Sujete el accesorio de barra en V con un agarre superior, con las palmas una frente a la otra y las manos separadas al ancho de los hombros.",Mantenga la espalda recta e inclínese ligeramente hacia adelante desde las caderas.,Tire de la barra en V hacia el torso retrayendo los omóplatos y apretando los músculos de la espalda.,"Haga una pausa por un momento en el pico de la contracción, luego libere lentamente la tensión y regrese a la posición inicial.",Repita el número de repeticiones deseado.,rear deltoids,,,,,,,,
back,cable,Principiante,0214,Remo alternado con un brazo sentado con cable,upper back,biceps,forearms,Siéntese en un banco frente a una máquina de cable con los pies apoyados en el suelo y las rodillas ligeramente dobladas.,Sujete el mango con una mano y mantenga el brazo completamente extendido frente a usted.,"Tire del mango hacia su cuerpo, retrayendo el omóplato y manteniendo el codo cerca del costado.","Haga una pausa por un momento en la parte superior del movimiento, apretando los músculos de la espalda.",Suelte lentamente el mango hasta la posición inicial.,Repita con el otro brazo.,,Alterne entre los brazos durante el número deseado de repeticiones.,,,,,,,
upper arms,cable,Principiante,1642,curl de concentración con un brazo sentado con cable,biceps,forearms,,Siéntese en un banco con los pies apoyados en el suelo y la espalda recta.,"Sujete un asa de cable con una mano y coloque el codo en la parte interior del muslo, justo por encima de la rodilla.",Mantenga el brazo superior estacionario y doble el mango del cable hacia el hombro mientras exhala.,"Haz una pausa por un momento en la parte superior del movimiento, apretando los bíceps.",Baje lentamente el mango del cable hasta la posición inicial mientras inhala.,Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de brazo.,,,,,,,,,
upper arms,cable,Principiante,1643,curl de bíceps sobre la cabeza sentado con cable,biceps,forearms,shoulders,Siéntese en un banco frente a la máquina de cable con los pies apoyados en el suelo.,"Sujete el accesorio de cable con un agarre supino, con las palmas hacia arriba y las manos separadas al ancho de los hombros.",Mantenga los brazos superiores estacionarios y los codos cerca de los costados.,"Exhala y curva el cable hacia tus hombros, contrayendo tus bíceps.","Haz una pausa por un momento en la parte superior del movimiento, apretando los bíceps.","Inhale y baje lentamente el cable hasta la posición inicial, extendiendo completamente los brazos.",,Repita el número de repeticiones deseado.,,,,,,,
shoulders,cable,Principiante,0215,elevación lateral trasera sentada con cable,delts,traps,rhomboids,Siéntese en un banco frente a la máquina de cable con los pies apoyados en el suelo.,Sujete los mangos del cable con un agarre por encima de la mano y extienda los brazos hacia delante.,"Manteniendo los brazos rectos, levántelos lentamente hacia los lados hasta que queden paralelos al suelo.","Haz una pausa por un momento en la parte superior, luego baja lentamente los brazos hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
back,cable,Principiante,0861,remo sentado con cable,upper back,biceps,forearms,Siéntese en la máquina de remo con cable con los pies apoyados sobre los reposapiés y las rodillas ligeramente dobladas.,"Sujete las manijas con un agarre superior, manteniendo la espalda recta y los hombros relajados.","Tire de las manijas hacia su cuerpo, apretando los omóplatos.","Haga una pausa por un momento en el punto máximo del movimiento, luego suelte lentamente las manijas hasta volver a la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
shoulders,cable,Principiante,0216,rotación interna del hombro sentado con cable,delts,rotator cuff,triceps,Siéntese en un banco o silla frente a la máquina de cable con los pies apoyados en el suelo.,"Sujete el mango del cable con el brazo extendido hacia delante, paralelo al suelo.",Mantenga el codo ligeramente doblado y los omóplatos hacia atrás y hacia abajo.,"Gire lentamente el brazo hacia adentro, llevando el mango del cable hacia el centro de su cuerpo.",Haga una pausa por un momento al final del movimiento y luego regrese lentamente a la posición inicial.,Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de brazo.,,,,,,,,,
waist,cable,Principiante,2399,torsión sentado con cable,abs,obliques,,Siéntese en una máquina de cable con los pies apoyados en el suelo y las rodillas ligeramente dobladas.,Sujete el mango del cable con ambas manos y extienda los brazos hacia delante.,"Manteniendo el centro del cuerpo contraído, gire lentamente el torso hacia un lado, tirando del cable a través del cuerpo.","Haga una pausa por un momento al final del rango de movimiento, luego gire lentamente hasta la posición inicial.",Repita en el otro lado.,Continúe alternando lados durante el número deseado de repeticiones.,,,,,,,,,
back,cable,Principiante,0218,remo con cable sentado y agarre ancho,upper back,biceps,forearms,Siéntese en la máquina de remo con cable con los pies apoyados sobre los reposapiés y las rodillas ligeramente dobladas.,"Sujete el mango con un agarre amplio y por encima de la mano, con las palmas hacia abajo.",Mantenga la espalda recta e inclínese ligeramente hacia adelante desde las caderas.,"Tire del mango hacia la parte inferior del pecho, apretando los omóplatos.",Haga una pausa por un momento en el pico de la contracción.,"Suelte lentamente el mango hasta la posición inicial, extendiendo completamente los brazos.",,Repita el número de repeticiones deseado.,,,,,,,
shoulders,cable,Principiante,0219,press de hombros con cable,delts,triceps,upper back,Ajuste la máquina de cable de manera que los mangos queden a la altura de los hombros.,Párese de espaldas a la máquina con los pies separados al ancho de los hombros.,"Sujete las manijas con un agarre superior y llévelas hasta el nivel de los hombros, con los codos doblados y apuntando hacia afuera.",Presione las manijas hacia arriba hasta que sus brazos estén completamente extendidos sobre su cabeza.,"Haga una pausa por un momento en la parte superior, luego baje lentamente las manijas hasta el nivel de los hombros.",Repita el número de repeticiones deseado.,,,,,,,,,
back,cable,Principiante,0220,encogimiento de hombros con cable,traps,shoulders,,Párese frente a la máquina de cable con los pies separados al ancho de los hombros.,Sujete los mangos del cable con un agarre superior y deje que los brazos cuelguen frente a usted.,"Manteniendo los brazos rectos, encoge los hombros hacia las orejas.",Mantenga la contracción por un momento y luego baje lentamente los hombros hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
waist,cable,Principiante,0222,curva lateral del cable,abs,obliques,,Párese con los pies separados al ancho de los hombros y sujete el mango del cable con una mano.,Mantenga la espalda recta y el centro del cuerpo contraído.,"Inclínese lentamente hacia un lado desde la cintura, bajando el mango del cable hacia la rodilla.",Haga una pausa por un momento y luego regrese a la posición inicial.,Repita en el otro lado.,Alterne los lados para el número deseado de repeticiones.,,,,,,,,,
waist,cable,Principiante,0221,abdominales con flexión lateral con cable (pelota bosu),abs,obliques,,Párese con los pies separados al ancho de los hombros y sostenga un asa de cable en una mano.,Coloque la otra mano sobre su cadera.,"Contraiga el centro del cuerpo y doble el cuerpo lentamente hacia un lado, hacia la mano que sostiene el cable, manteniendo la espalda recta.",Haga una pausa por un momento en la parte inferior del movimiento y luego regrese lentamente a la posición inicial.,Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de lado.,,,,,,,,,,
